permutation,diagonal_dominance,matching_margin
0,0.25,-849.7709654078764
1,0.22058823529411764,-884.5450637480792
2,0.19117647058823528,-928.3946762084961
3,0.20098039215686275,-994.6487437790515
4,0.20588235294117646,-946.6801346049589
5,0.19607843137254902,-974.0576992128409
6,0.25980392156862747,-811.0993251800537
7,0.23039215686274508,-862.2086974031785
8,0.20588235294117646,-951.8379663953594
9,0.20588235294117646,-967.5463438595043
10,0.20588235294117646,-993.4218111599193
11,0.2107843137254902,-874.2488285513485
12,0.21568627450980393,-1016.5149103052476
13,0.18137254901960784,-1017.8320664798512
14,0.22058823529411764,-904.4087904200834
15,0.24019607843137256,-898.8300399967269
16,0.2107843137254902,-979.2073137806912
17,0.23529411764705882,-938.6268145617316
18,0.16176470588235295,-1095.3976542341943
19,0.18627450980392157,-965.9103985206754
20,0.2107843137254902,-910.8494387607949
21,0.20098039215686275,-986.4901976678885
22,0.21568627450980393,-973.6929142147887
23,0.21568627450980393,-967.6842893151676
24,0.20098039215686275,-909.6171634617974
25,0.23529411764705882,-950.3428864946552
26,0.25980392156862747,-852.7632300245996
27,0.20588235294117646,-1046.6138497146906
28,0.25,-984.0426571602915
29,0.23529411764705882,-856.9222057192933
30,0.21568627450980393,-1104.4308446154876
31,0.20098039215686275,-1001.9260508406396
32,0.21568627450980393,-1002.226544230592
33,0.22058823529411764,-911.0010771751404
34,0.24509803921568626,-1014.7535891439401
35,0.22549019607843138,-821.1753469167971
36,0.23039215686274508,-952.7965423920575
37,0.24509803921568626,-946.9650983810425
38,0.23039215686274508,-831.4828396778481
39,0.23529411764705882,-958.5776420481064
40,0.1568627450980392,-1161.7826856725355
41,0.23039215686274508,-1009.500984135796
42,0.20588235294117646,-1004.5798369575949
43,0.2107843137254902,-960.1271993038702
44,0.23039215686274508,-817.6502298280304
45,0.2549019607843137,-916.6934444577087
46,0.21568627450980393,-867.6116952896118
47,0.23529411764705882,-899.4931882783478
48,0.25,-1012.7415873022641
49,0.21568627450980393,-967.0461724412207
50,0.2647058823529412,-786.7725819045422
51,0.18627450980392157,-1017.4809541515275
52,0.2107843137254902,-980.3642038457534
53,0.2549019607843137,-964.2522592544556
54,0.19117647058823528,-1016.6817351322549
55,0.19607843137254902,-921.2978539560355
56,0.27941176470588236,-806.6094939942453
57,0.18627450980392157,-943.4805366478714
58,0.18137254901960784,-1086.9315931656781
59,0.24509803921568626,-986.9027273888681
60,0.18137254901960784,-1102.0236809767928
61,0.21568627450980393,-912.846453816283
62,0.24019607843137256,-948.4249094981773
63,0.2107843137254902,-978.2037075454114
64,0.22549019607843138,-949.0196226157394
65,0.2549019607843137,-939.9352218590531
66,0.2107843137254902,-1035.4531072822272
67,0.21568627450980393,-900.6343021392822
68,0.23039215686274508,-863.0542539895749
69,0.25,-841.692991957945
70,0.20098039215686275,-996.424243777406
71,0.19607843137254902,-1002.807251144858
72,0.18137254901960784,-1070.2127416461121
73,0.23529411764705882,-883.3769777335373
74,0.21568627450980393,-812.6256855796365
75,0.19607843137254902,-919.1397894410526
76,0.23529411764705882,-927.5722923278809
77,0.18627450980392157,-1062.04845978232
78,0.19117647058823528,-1021.3106567719403
79,0.21568627450980393,-921.3228215236289
80,0.2107843137254902,-1016.712036076714
81,0.2107843137254902,-923.1574442059386
82,0.25980392156862747,-810.5801523807002
83,0.20098039215686275,-1224.504843674454
84,0.19117647058823528,-967.7174200731165
85,0.25980392156862747,-798.1047951941397
86,0.18627450980392157,-1026.6695412467507
87,0.1715686274509804,-1081.0326720032037
88,0.2107843137254902,-849.9646308094848
89,0.23529411764705882,-1026.2950187383913
90,0.28431372549019607,-894.6531370854846
91,0.20098039215686275,-918.8267524943632
92,0.18627450980392157,-1095.276102365232
93,0.21568627450980393,-1010.2731633840823
94,0.22549019607843138,-898.2083802690693
95,0.20588235294117646,-1032.4042484620038
96,0.19607843137254902,-1058.859150905235
97,0.25,-942.4575832965327
98,0.24509803921568626,-820.4857276467716
99,0.22058823529411764,-890.6950572705737
100,0.23529411764705882,-1019.6362968706617
101,0.2107843137254902,-1012.6039995679669
102,0.20588235294117646,-939.7843344445322
103,0.23039215686274508,-888.7164351332422
104,0.22549019607843138,-839.4408450407141
105,0.25,-926.804136874629
106,0.25,-824.8604455648684
107,0.24019607843137256,-1014.2768505881814
108,0.22549019607843138,-959.1641056584377
109,0.19117647058823528,-1068.682041579602
110,0.22058823529411764,-1088.6140193752215
111,0.23529411764705882,-933.0994948779835
112,0.20588235294117646,-924.9538359361536
113,0.22058823529411764,-865.3092731868519
114,0.19607843137254902,-1013.0292255177218
115,0.21568627450980393,-941.6590589448517
116,0.20588235294117646,-948.2482737092411
117,0.18137254901960784,-1010.759256400314
118,0.19117647058823528,-1105.2292881759943
119,0.22058823529411764,-921.5281558878281
120,0.2107843137254902,-1047.0315423105278
121,0.24509803921568626,-817.4379392231212
122,0.20588235294117646,-924.3755389194863
123,0.2107843137254902,-958.4879727270089
124,0.20588235294117646,-984.247475119198
125,0.22549019607843138,-818.3903558955473
126,0.21568627450980393,-828.9067822718152
127,0.20098039215686275,-1100.9224741973128
128,0.18627450980392157,-1029.592518451167
129,0.20098039215686275,-1056.2245143815583
130,0.23529411764705882,-925.2171731930154
131,0.22058823529411764,-977.8663479300106
132,0.22549019607843138,-947.1101442224839
133,0.21568627450980393,-979.4883004169839
134,0.23529411764705882,-965.2947517563315
135,0.25,-830.2395949644201
136,0.24509803921568626,-926.2408730002011
137,0.20098039215686275,-884.270679436478
138,0.25980392156862747,-834.749323162378
139,0.21568627450980393,-908.1382849824195
140,0.22058823529411764,-865.6381987964405
141,0.24019607843137256,-890.6787194364211
142,0.27450980392156865,-868.5446641959396
143,0.19607843137254902,-870.6275140163946
144,0.22058823529411764,-807.0457874372894
145,0.2647058823529412,-869.812454363879
146,0.21568627450980393,-931.4891905223622
147,0.23039215686274508,-798.2393926639182
148,0.21568627450980393,-934.027429113201
149,0.2647058823529412,-829.6127118690341
150,0.19607843137254902,-956.8988930010328
151,0.28431372549019607,-786.4723113938874
152,0.2549019607843137,-891.5640285903332
153,0.23529411764705882,-939.0976859261008
154,0.25,-837.0020136552698
155,0.24509803921568626,-841.0681769240136
156,0.24509803921568626,-905.5962999568266
157,0.21568627450980393,-1039.8017316893036
158,0.22549019607843138,-956.2310590370029
159,0.27450980392156865,-825.311378067615
160,0.24019607843137256,-825.7397817910886
161,0.22549019607843138,-955.2246570587158
162,0.18627450980392157,-1035.6970703835582
163,0.19117647058823528,-981.061530047772
164,0.2549019607843137,-818.3627942590152
165,0.2107843137254902,-996.4855701783124
166,0.22058823529411764,-1004.5030532724717
167,0.23039215686274508,-966.3648276609533
168,0.2107843137254902,-951.9944346184824
169,0.23529411764705882,-1025.0204639060823
170,0.20098039215686275,-1042.507025232502
171,0.18627450980392157,-1041.2023646036785
172,0.24509803921568626,-897.1669054218368
173,0.23529411764705882,-994.7687508826162
174,0.20588235294117646,-929.5872698391186
175,0.25,-889.9001844256532
176,0.19607843137254902,-1063.1885397854974
177,0.2549019607843137,-799.5407112345976
178,0.19607843137254902,-920.2976050657385
179,0.22058823529411764,-896.5740746142817
180,0.21568627450980393,-841.008142003826
181,0.2696078431372549,-928.2806651732501
182,0.22058823529411764,-846.7777693692376
183,0.2107843137254902,-912.0314997130749
184,0.25980392156862747,-867.0829907211603
185,0.25,-885.5731268677057
186,0.19607843137254902,-800.8414987863279
187,0.25980392156862747,-906.4624405000724
188,0.22058823529411764,-958.4871365042294
189,0.2647058823529412,-839.4087866801841
190,0.21568627450980393,-856.1748610758314
191,0.2647058823529412,-772.8277045792224
192,0.22058823529411764,-1025.2897600286146
193,0.22549019607843138,-939.8437592936497
194,0.18137254901960784,-1009.4839788511688
195,0.19607843137254902,-863.71672149733
196,0.23039215686274508,-1049.3612004074396
197,0.18627450980392157,-928.1654168484258
198,0.24509803921568626,-866.8103822259342
199,0.21568627450980393,-852.2409547356998
200,0.17647058823529413,-970.473897821763
201,0.16176470588235295,-1089.9069611698974
202,0.25,-972.3546515165591
203,0.21568627450980393,-1053.492624357635
204,0.22058823529411764,-838.4209313860126
205,0.19117647058823528,-891.6629760031607
206,0.22058823529411764,-1048.9627348020965
207,0.23529411764705882,-940.1716015011657
208,0.1715686274509804,-916.156860108469
209,0.21568627450980393,-951.074991759132
210,0.2107843137254902,-1059.5500044916191
211,0.20098039215686275,-934.5760513006472
212,0.20098039215686275,-1065.4330359346727
213,0.25980392156862747,-864.0482351639691
214,0.23039215686274508,-957.4787354562797
215,0.20588235294117646,-925.7796217600504
216,0.2696078431372549,-994.2980424843582
217,0.21568627450980393,-912.6505236625671
218,0.16666666666666666,-1120.1986554463704
219,0.23039215686274508,-894.6604606965009
220,0.23039215686274508,-813.5502699870689
221,0.25980392156862747,-954.1006871391745
222,0.22549019607843138,-957.2806423598645
223,0.18627450980392157,-1112.4080597372615
224,0.22058823529411764,-760.3512466468063
225,0.24509803921568626,-898.9833161410163
226,0.2107843137254902,-1036.0265184664258
227,0.25,-991.2240112716077
228,0.20588235294117646,-911.0732955932617
229,0.22549019607843138,-898.0481570561727
230,0.22058823529411764,-991.0860661525352
231,0.22549019607843138,-883.8191244835947
232,0.22058823529411764,-1060.0111132603065
233,0.24019607843137256,-907.6705280004763
234,0.20098039215686275,-989.7825484182321
235,0.2647058823529412,-885.7502318363564
236,0.20098039215686275,-897.4228816686892
237,0.2549019607843137,-784.6641029096118
238,0.23039215686274508,-851.4238993046331
239,0.20098039215686275,-928.1321097261765
240,0.18137254901960784,-1090.3624779383342
241,0.2696078431372549,-739.9456274182189
242,0.24019607843137256,-955.3150013568354
243,0.24019607843137256,-892.1080694853091
244,0.25,-862.7155872606763
245,0.23529411764705882,-815.2981265385946
246,0.2696078431372549,-675.6431572858025
247,0.22058823529411764,-1035.1265902612724
248,0.22549019607843138,-958.8578009698905
249,0.19117647058823528,-1021.1692176519656
250,0.23039215686274508,-692.4343572036893
251,0.18137254901960784,-938.3535476478876
252,0.22549019607843138,-872.0938141579721
253,0.25980392156862747,-850.1605440214569
254,0.22058823529411764,-1054.9489344802557
255,0.16666666666666666,-960.7186690685796
256,0.1715686274509804,-1064.759189456117
257,0.20098039215686275,-1045.2188895356421
258,0.2549019607843137,-908.765955064811
259,0.23529411764705882,-917.296615151798
260,0.24509803921568626,-846.5747004677268
261,0.22549019607843138,-1000.6308605063196
262,0.22058823529411764,-845.3549760930679
263,0.24509803921568626,-844.0030611449597
264,0.22549019607843138,-881.6464960808847
265,0.23039215686274508,-971.8294866038303
266,0.22058823529411764,-902.1274798337151
267,0.21568627450980393,-1064.300298204609
268,0.2696078431372549,-921.9352242993374
269,0.20588235294117646,-969.8027428084729
270,0.25980392156862747,-916.1981684553857
271,0.23529411764705882,-968.1540902268653
272,0.22058823529411764,-913.7368124232572
273,0.22058823529411764,-982.144089418299
274,0.2107843137254902,-984.7400946710624
275,0.24019607843137256,-870.3956157085943
276,0.22549019607843138,-970.3917423136094
277,0.19117647058823528,-1065.9656457153021
278,0.18627450980392157,-972.5885383942548
279,0.25,-703.3084463044709
280,0.22058823529411764,-891.4827678530824
281,0.23529411764705882,-1009.8633803199319
282,0.20588235294117646,-1059.1193001691033
283,0.21568627450980393,-976.5698559143964
284,0.19607843137254902,-938.9915568968829
285,0.25980392156862747,-825.9945098091574
286,0.24019607843137256,-875.668288118699
287,0.24509803921568626,-858.5724428588269
288,0.20588235294117646,-955.2083685631845
289,0.1715686274509804,-1032.6768587523816
